Overdose_death,Year,fipscounty,County,State,fipscounty,fipsstate,Rank
0,2015,47135,PERRY,TN,47135,47,1
0,2015,47101,LEWIS,TN,47101,47,1
0,2015,47137,PICKETT,TN,47137,47,1
0,2015,47095,LAKE,TN,47095,47,1
0,2015,47097,LAUDERDALE,TN,47097,47,1
0,2015,47127,MOORE,TN,47127,47,1
0,2015,47169,TROUSDALE,TN,47169,47,1
0,2015,47121,MEIGS,TN,47121,47,1
0,2015,47175,VAN BUREN,TN,47175,47,1
0,2015,47075,HAYWOOD,TN,47075,47,1
1,2015,47069,HARDEMAN,TN,47069,47,2
1,2015,47061,GRUNDY,TN,47061,47,2
1,2015,47017,CARROLL,TN,47017,47,2
1,2015,47079,HENRY,TN,47079,47,2
1,2015,47007,BLEDSOE,TN,47007,47,2
1,2015,47033,CROCKETT,TN,47033,47,2
1,2015,47161,STEWART,TN,47161,47,2
1,2015,47045,DYER,TN,47045,47,2
2,2015,47027,CLAY,TN,47027,47,3
2,2015,47041,DE KALB,TN,47041,47,3
2,2015,47131,OBION,TN,47131,47,3
2,2015,47099,LAWRENCE,TN,47099,47,3
2,2015,47153,SEQUATCHIE,TN,47153,47,3
2,2015,47057,GRAINGER,TN,47057,47,3
2,2015,47103,LINCOLN,TN,47103,47,3
2,2015,47083,HOUSTON,TN,47083,47,3
2,2015,47089,JEFFERSON,TN,47089,47,3
2,2015,47035,CUMBERLAND,TN,47035,47,3
2,2015,47049,FENTRESS,TN,47049,47,3
3,2015,47025,CLAIBORNE,TN,47025,47,4
3,2015,47181,WAYNE,TN,47181,47,4
3,2015,47173,UNION,TN,47173,47,4
3,2015,47171,UNICOI,TN,47171,47,4
3,2015,47087,JACKSON,TN,47087,47,4
3,2015,47015,CANNON,TN,47015,47,4
3,2015,47091,JOHNSON,TN,47091,47,4
3,2015,47143,RHEA,TN,47143,47,4
3,2015,47139,POLK,TN,47139,47,4
3,2015,47023,CHESTER,TN,47023,47,4
3,2015,47115,MARION,TN,47115,47,4
3,2015,47067,HANCOCK,TN,47067,47,4
3,2015,47111,MACON,TN,47111,47,4
4,2015,47005,BENTON,TN,47005,47,5
4,2015,47085,HUMPHREYS,TN,47085,47,5
4,2015,47183,WEAKLEY,TN,47183,47,5
4,2015,47107,MC MINN,TN,47107,47,5
4,2015,47133,OVERTON,TN,47133,47,5
4,2015,47151,SCOTT,TN,47151,47,5
4,2015,47077,HENDERSON,TN,47077,47,5
5,2015,47117,MARSHALL,TN,47117,47,6
5,2015,47081,HICKMAN,TN,47081,47,6
5,2015,47177,WARREN,TN,47177,47,6
5,2015,47039,DECATUR,TN,47039,47,6
5,2015,47059,GREENE,TN,47059,47,6
5,2015,47113,MADISON,TN,47113,47,6
5,2015,47029,COCKE,TN,47029,47,6
5,2015,47047,FAYETTE,TN,47047,47,6
5,2015,47159,SMITH,TN,47159,47,6
6,2015,47053,GIBSON,TN,47053,47,7
6,2015,47123,MONROE,TN,47123,47,7
7,2015,47071,HARDIN,TN,47071,47,8
7,2015,47051,FRANKLIN,TN,47051,47,8
7,2015,47185,WHITE,TN,47185,47,8
8,2015,47003,BEDFORD,TN,47003,47,9
8,2015,47031,COFFEE,TN,47031,47,9
9,2015,47109,MC NAIRY,TN,47109,47,10
9,2015,47105,LOUDON,TN,47105,47,10
9,2015,47055,GILES,TN,47055,47,10
10,2015,47129,MORGAN,TN,47129,47,11
10,2015,47011,BRADLEY,TN,47011,47,11
10,2015,47019,CARTER,TN,47019,47,11
11,2015,47063,HAMBLEN,TN,47063,47,12
11,2015,47119,MAURY,TN,47119,47,12
12,2015,47167,TIPTON,TN,47167,47,13
12,2015,47141,PUTNAM,TN,47141,47,13
12,2015,47147,ROBERTSON,TN,47147,47,13
14,2015,47073,HAWKINS,TN,47073,47,14
15,2015,47021,CHEATHAM,TN,47021,47,15
15,2015,47145,ROANE,TN,47145,47,15
16,2015,47013,CAMPBELL,TN,47013,47,16
16,2015,47043,DICKSON,TN,47043,47,16
17,2015,47179,WASHINGTON,TN,47179,47,17
18,2015,47165,SUMNER,TN,47165,47,18
18,2015,47155,SEVIER,TN,47155,47,18
19,2015,47009,BLOUNT,TN,47009,47,19
20,2015,47001,ANDERSON,TN,47001,47,20
21,2015,47187,WILLIAMSON,TN,47187,47,21
23,2015,47163,SULLIVAN,TN,47163,47,22
24,2015,47125,MONTGOMERY,TN,47125,47,23
26,2015,47189,WILSON,TN,47189,47,24
37,2015,47065,HAMILTON,TN,47065,47,25
44,2015,47149,RUTHERFORD,TN,47149,47,26
122,2015,47093,KNOX,TN,47093,47,27
127,2015,47037,DAVIDSON,TN,47037,47,28
135,2015,47157,SHELBY,TN,47157,47,29
0,2016,47045,DYER,TN,47045,47,1
0,2016,47095,LAKE,TN,47095,47,1
0,2016,47101,LEWIS,TN,47101,47,1
0,2016,47137,PICKETT,TN,47137,47,1
0,2016,47135,PERRY,TN,47135,47,1
0,2016,47169,TROUSDALE,TN,47169,47,1
0,2016,47127,MOORE,TN,47127,47,1
0,2016,47033,CROCKETT,TN,47033,47,1
1,2016,47151,SCOTT,TN,47151,47,2
1,2016,47131,OBION,TN,47131,47,2
1,2016,47069,HARDEMAN,TN,47069,47,2
1,2016,47091,JOHNSON,TN,47091,47,2
1,2016,47005,BENTON,TN,47005,47,2
1,2016,47181,WAYNE,TN,47181,47,2
1,2016,47075,HAYWOOD,TN,47075,47,2
1,2016,47017,CARROLL,TN,47017,47,2
1,2016,47161,STEWART,TN,47161,47,2
1,2016,47067,HANCOCK,TN,47067,47,2
1,2016,47041,DE KALB,TN,47041,47,2
1,2016,47003,BEDFORD,TN,47003,47,2
1,2016,47121,MEIGS,TN,47121,47,2
2,2016,47047,FAYETTE,TN,47047,47,3
2,2016,47007,BLEDSOE,TN,47007,47,3
2,2016,47023,CHESTER,TN,47023,47,3
2,2016,47025,CLAIBORNE,TN,47025,47,3
2,2016,47049,FENTRESS,TN,47049,47,3
2,2016,47051,FRANKLIN,TN,47051,47,3
2,2016,47061,GRUNDY,TN,47061,47,3
2,2016,47077,HENDERSON,TN,47077,47,3
2,2016,47083,HOUSTON,TN,47083,47,3
2,2016,47085,HUMPHREYS,TN,47085,47,3
2,2016,47139,POLK,TN,47139,47,3
3,2016,47109,MC NAIRY,TN,47109,47,4
3,2016,47039,DECATUR,TN,47039,47,4
3,2016,47057,GRAINGER,TN,47057,47,4
3,2016,47089,JEFFERSON,TN,47089,47,4
3,2016,47153,SEQUATCHIE,TN,47153,47,4
3,2016,47143,RHEA,TN,47143,47,4
3,2016,47175,VAN BUREN,TN,47175,47,4
3,2016,47115,MARION,TN,47115,47,4
3,2016,47015,CANNON,TN,47015,47,4
4,2016,47079,HENRY,TN,47079,47,5
4,2016,47013,CAMPBELL,TN,47013,47,5
4,2016,47183,WEAKLEY,TN,47183,47,5
4,2016,47029,COCKE,TN,47029,47,5
4,2016,47087,JACKSON,TN,47087,47,5
4,2016,47081,HICKMAN,TN,47081,47,5
4,2016,47055,GILES,TN,47055,47,5
5,2016,47103,LINCOLN,TN,47103,47,6
5,2016,47099,LAWRENCE,TN,47099,47,6
5,2016,47111,MACON,TN,47111,47,6
5,2016,47107,MC MINN,TN,47107,47,6
5,2016,47053,GIBSON,TN,47053,47,6
5,2016,47177,WARREN,TN,47177,47,6
5,2016,47097,LAUDERDALE,TN,47097,47,6
5,2016,47171,UNICOI,TN,47171,47,6
6,2016,47129,MORGAN,TN,47129,47,7
6,2016,47173,UNION,TN,47173,47,7
6,2016,47027,CLAY,TN,47027,47,7
6,2016,47133,OVERTON,TN,47133,47,7
6,2016,47123,MONROE,TN,47123,47,7
6,2016,47035,CUMBERLAND,TN,47035,47,7
7,2016,47071,HARDIN,TN,47071,47,8
7,2016,47011,BRADLEY,TN,47011,47,8
7,2016,47113,MADISON,TN,47113,47,8
8,2016,47159,SMITH,TN,47159,47,9
8,2016,47185,WHITE,TN,47185,47,9
9,2016,47147,ROBERTSON,TN,47147,47,10
10,2016,47141,PUTNAM,TN,47141,47,11
10,2016,47117,MARSHALL,TN,47117,47,11
12,2016,47031,COFFEE,TN,47031,47,12
12,2016,47105,LOUDON,TN,47105,47,12
13,2016,47059,GREENE,TN,47059,47,13
13,2016,47021,CHEATHAM,TN,47021,47,13
14,2016,47019,CARTER,TN,47019,47,14
15,2016,47119,MAURY,TN,47119,47,15
15,2016,47125,MONTGOMERY,TN,47125,47,15
16,2016,47167,TIPTON,TN,47167,47,16
17,2016,47043,DICKSON,TN,47043,47,17
17,2016,47155,SEVIER,TN,47155,47,17
19,2016,47187,WILLIAMSON,TN,47187,47,18
19,2016,47063,HAMBLEN,TN,47063,47,18
19,2016,47073,HAWKINS,TN,47073,47,18
21,2016,47165,SUMNER,TN,47165,47,19
21,2016,47009,BLOUNT,TN,47009,47,19
21,2016,47145,ROANE,TN,47145,47,19
24,2016,47001,ANDERSON,TN,47001,47,20
27,2016,47189,WILSON,TN,47189,47,21
30,2016,47179,WASHINGTON,TN,47179,47,22
36,2016,47163,SULLIVAN,TN,47163,47,23
45,2016,47149,RUTHERFORD,TN,47149,47,24
53,2016,47065,HAMILTON,TN,47065,47,25
147,2016,47093,KNOX,TN,47093,47,26
150,2016,47157,SHELBY,TN,47157,47,27
178,2016,47037,DAVIDSON,TN,47037,47,28
0,2017,47033,CROCKETT,TN,47033,47,1
0,2017,47175,VAN BUREN,TN,47175,47,1
0,2017,47185,WHITE,TN,47185,47,1
0,2017,47181,WAYNE,TN,47181,47,1
0,2017,47131,OBION,TN,47131,47,1
0,2017,47075,HAYWOOD,TN,47075,47,1
0,2017,47161,STEWART,TN,47161,47,1
0,2017,47039,DECATUR,TN,47039,47,1
0,2017,47095,LAKE,TN,47095,47,1
1,2017,47127,MOORE,TN,47127,47,2
1,2017,47057,GRAINGER,TN,47057,47,2
1,2017,47083,HOUSTON,TN,47083,47,2
1,2017,47049,FENTRESS,TN,47049,47,2
1,2017,47091,JOHNSON,TN,47091,47,2
1,2017,47045,DYER,TN,47045,47,2
1,2017,47135,PERRY,TN,47135,47,2
1,2017,47137,PICKETT,TN,47137,47,2
1,2017,47023,CHESTER,TN,47023,47,2
1,2017,47177,WARREN,TN,47177,47,2
1,2017,47183,WEAKLEY,TN,47183,47,2
1,2017,47061,GRUNDY,TN,47061,47,2
2,2017,47121,MEIGS,TN,47121,47,3
2,2017,47025,CLAIBORNE,TN,47025,47,3
2,2017,47079,HENRY,TN,47079,47,3
2,2017,47027,CLAY,TN,47027,47,3
2,2017,47097,LAUDERDALE,TN,47097,47,3
2,2017,47101,LEWIS,TN,47101,47,3
2,2017,47087,JACKSON,TN,47087,47,3
2,2017,47115,MARION,TN,47115,47,3
2,2017,47071,HARDIN,TN,47071,47,3
2,2017,47007,BLEDSOE,TN,47007,47,3
2,2017,47159,SMITH,TN,47159,47,3
2,2017,47169,TROUSDALE,TN,47169,47,3
2,2017,47017,CARROLL,TN,47017,47,3
2,2017,47151,SCOTT,TN,47151,47,3
2,2017,47111,MACON,TN,47111,47,3
2,2017,47139,POLK,TN,47139,47,3
3,2017,47015,CANNON,TN,47015,47,4
3,2017,47129,MORGAN,TN,47129,47,4
3,2017,47081,HICKMAN,TN,47081,47,4
3,2017,47047,FAYETTE,TN,47047,47,4
3,2017,47003,BEDFORD,TN,47003,47,4
3,2017,47109,MC NAIRY,TN,47109,47,4
3,2017,47153,SEQUATCHIE,TN,47153,47,4
3,2017,47067,HANCOCK,TN,47067,47,4
3,2017,47051,FRANKLIN,TN,47051,47,4
4,2017,47103,LINCOLN,TN,47103,47,5
4,2017,47069,HARDEMAN,TN,47069,47,5
4,2017,47143,RHEA,TN,47143,47,5
4,2017,47085,HUMPHREYS,TN,47085,47,5
4,2017,47173,UNION,TN,47173,47,5
5,2017,47055,GILES,TN,47055,47,6
5,2017,47073,HAWKINS,TN,47073,47,6
5,2017,47123,MONROE,TN,47123,47,6
5,2017,47005,BENTON,TN,47005,47,6
5,2017,47013,CAMPBELL,TN,47013,47,6
5,2017,47077,HENDERSON,TN,47077,47,6
5,2017,47133,OVERTON,TN,47133,47,6
6,2017,47043,DICKSON,TN,47043,47,7
6,2017,47117,MARSHALL,TN,47117,47,7
6,2017,47029,COCKE,TN,47029,47,7
6,2017,47107,MC MINN,TN,47107,47,7
6,2017,47053,GIBSON,TN,47053,47,7
7,2017,47171,UNICOI,TN,47171,47,8
7,2017,47041,DE KALB,TN,47041,47,8
7,2017,47089,JEFFERSON,TN,47089,47,8
7,2017,47099,LAWRENCE,TN,47099,47,8
9,2017,47035,CUMBERLAND,TN,47035,47,9
9,2017,47063,HAMBLEN,TN,47063,47,9
10,2017,47141,PUTNAM,TN,47141,47,10
12,2017,47031,COFFEE,TN,47031,47,11
12,2017,47113,MADISON,TN,47113,47,11
12,2017,47167,TIPTON,TN,47167,47,11
12,2017,47119,MAURY,TN,47119,47,11
14,2017,47011,BRADLEY,TN,47011,47,12
15,2017,47147,ROBERTSON,TN,47147,47,13
16,2017,47019,CARTER,TN,47019,47,14
16,2017,47145,ROANE,TN,47145,47,14
17,2017,47059,GREENE,TN,47059,47,15
18,2017,47105,LOUDON,TN,47105,47,16
22,2017,47125,MONTGOMERY,TN,47125,47,17
24,2017,47021,CHEATHAM,TN,47021,47,18
24,2017,47179,WASHINGTON,TN,47179,47,18
24,2017,47155,SEVIER,TN,47155,47,18
24,2017,47187,WILLIAMSON,TN,47187,47,18
26,2017,47189,WILSON,TN,47189,47,19
28,2017,47165,SUMNER,TN,47165,47,20
29,2017,47009,BLOUNT,TN,47009,47,21
29,2017,47163,SULLIVAN,TN,47163,47,21
34,2017,47001,ANDERSON,TN,47001,47,22
48,2017,47149,RUTHERFORD,TN,47149,47,23
60,2017,47065,HAMILTON,TN,47065,47,24
159,2017,47157,SHELBY,TN,47157,47,25
184,2017,47037,DAVIDSON,TN,47037,47,26
196,2017,47093,KNOX,TN,47093,47,27
0,2018,47121,MEIGS,TN,47121,47,1
0,2018,47045,DYER,TN,47045,47,1
0,2018,47135,PERRY,TN,47135,47,1
0,2018,47139,POLK,TN,47139,47,1
0,2018,47109,MC NAIRY,TN,47109,47,1
0,2018,47017,CARROLL,TN,47017,47,1
0,2018,47095,LAKE,TN,47095,47,1
1,2018,47025,CLAIBORNE,TN,47025,47,2
1,2018,47049,FENTRESS,TN,47049,47,2
1,2018,47091,JOHNSON,TN,47091,47,2
1,2018,47005,BENTON,TN,47005,47,2
1,2018,47023,CHESTER,TN,47023,47,2
1,2018,47127,MOORE,TN,47127,47,2
1,2018,47151,SCOTT,TN,47151,47,2
1,2018,47051,FRANKLIN,TN,47051,47,2
1,2018,47085,HUMPHREYS,TN,47085,47,2
1,2018,47075,HAYWOOD,TN,47075,47,2
1,2018,47137,PICKETT,TN,47137,47,2
1,2018,47027,CLAY,TN,47027,47,2
1,2018,47101,LEWIS,TN,47101,47,2
1,2018,47115,MARION,TN,47115,47,2
1,2018,47057,GRAINGER,TN,47057,47,2
1,2018,47175,VAN BUREN,TN,47175,47,2
2,2018,47143,RHEA,TN,47143,47,3
2,2018,47111,MACON,TN,47111,47,3
2,2018,47087,JACKSON,TN,47087,47,3
2,2018,47083,HOUSTON,TN,47083,47,3
2,2018,47039,DECATUR,TN,47039,47,3
2,2018,47097,LAUDERDALE,TN,47097,47,3
2,2018,47033,CROCKETT,TN,47033,47,3
2,2018,47061,GRUNDY,TN,47061,47,3
2,2018,47069,HARDEMAN,TN,47069,47,3
2,2018,47173,UNION,TN,47173,47,3
3,2018,47159,SMITH,TN,47159,47,4
3,2018,47129,MORGAN,TN,47129,47,4
3,2018,47131,OBION,TN,47131,47,4
3,2018,47067,HANCOCK,TN,47067,47,4
3,2018,47153,SEQUATCHIE,TN,47153,47,4
3,2018,47015,CANNON,TN,47015,47,4
3,2018,47013,CAMPBELL,TN,47013,47,4
3,2018,47007,BLEDSOE,TN,47007,47,4
4,2018,47177,WARREN,TN,47177,47,5
4,2018,47185,WHITE,TN,47185,47,5
4,2018,47055,GILES,TN,47055,47,5
4,2018,47047,FAYETTE,TN,47047,47,5
4,2018,47041,DE KALB,TN,47041,47,5
4,2018,47181,WAYNE,TN,47181,47,5
4,2018,47107,MC MINN,TN,47107,47,5
5,2018,47117,MARSHALL,TN,47117,47,6
5,2018,47183,WEAKLEY,TN,47183,47,6
5,2018,47133,OVERTON,TN,47133,47,6
5,2018,47089,JEFFERSON,TN,47089,47,6
5,2018,47113,MADISON,TN,47113,47,6
5,2018,47171,UNICOI,TN,47171,47,6
5,2018,47071,HARDIN,TN,47071,47,6
6,2018,47029,COCKE,TN,47029,47,7
6,2018,47077,HENDERSON,TN,47077,47,7
6,2018,47161,STEWART,TN,47161,47,7
6,2018,47053,GIBSON,TN,47053,47,7
7,2018,47079,HENRY,TN,47079,47,8
7,2018,47099,LAWRENCE,TN,47099,47,8
7,2018,47169,TROUSDALE,TN,47169,47,8
7,2018,47063,HAMBLEN,TN,47063,47,8
7,2018,47035,CUMBERLAND,TN,47035,47,8
7,2018,47003,BEDFORD,TN,47003,47,8
7,2018,47103,LINCOLN,TN,47103,47,8
7,2018,47105,LOUDON,TN,47105,47,8
8,2018,47123,MONROE,TN,47123,47,9
8,2018,47141,PUTNAM,TN,47141,47,9
8,2018,47081,HICKMAN,TN,47081,47,9
9,2018,47179,WASHINGTON,TN,47179,47,10
10,2018,47147,ROBERTSON,TN,47147,47,11
10,2018,47043,DICKSON,TN,47043,47,11
11,2018,47073,HAWKINS,TN,47073,47,12
12,2018,47167,TIPTON,TN,47167,47,13
12,2018,47019,CARTER,TN,47019,47,13
13,2018,47031,COFFEE,TN,47031,47,14
17,2018,47011,BRADLEY,TN,47011,47,15
18,2018,47059,GREENE,TN,47059,47,16
18,2018,47001,ANDERSON,TN,47001,47,16
18,2018,47119,MAURY,TN,47119,47,16
19,2018,47189,WILSON,TN,47189,47,17
21,2018,47021,CHEATHAM,TN,47021,47,18
25,2018,47145,ROANE,TN,47145,47,19
30,2018,47187,WILLIAMSON,TN,47187,47,20
30,2018,47009,BLOUNT,TN,47009,47,20
33,2018,47165,SUMNER,TN,47165,47,21
38,2018,47155,SEVIER,TN,47155,47,22
40,2018,47125,MONTGOMERY,TN,47125,47,23
41,2018,47065,HAMILTON,TN,47065,47,24
43,2018,47163,SULLIVAN,TN,47163,47,25
