county,population,total_opioids,opioid_pct,opioids_rank
BENTON,16154.0,10717.0,16.13981717142814,50
SCOTT,21949.0,26118.0,11.81120522409996,22
GRUNDY,13359.0,6343.0,11.172170849845882,64
RHEA,32478.0,14809.0,10.9658931030908,40
MORGAN,21639.0,6112.0,10.390670157424093,67
MONTGOMERY,192120.0,45243.0,10.390227770658509,13
COFFEE,54074.0,43957.0,9.629261282733179,15
MARSHALL,31753.0,7583.0,8.972159447211803,59
BRADLEY,103666.0,48244.0,8.938692398479956,11
WILLIAMSON,212161.0,41296.0,8.845023603293324,16
CHESTER,17097.0,9648.0,8.550462618313304,51
OBION,30659.0,19762.0,8.475034201193075,31
TROUSDALE,8773.0,3335.0,8.117515334436764,75
HAMBLEN,63465.0,45241.0,8.09407091995563,14
LAWRENCE,42591.0,17380.0,8.03554503465271,36
WILSON,128874.0,37417.0,7.856818888114296,17
SUMNER,175730.0,70453.0,7.772846174808224,7
WASHINGTON,126437.0,101935.0,7.75027295315546,6
CLAY,7684.0,6483.0,7.641712931857562,63
FENTRESS,17940.0,12819.0,7.578839081954807,45
MAURY,87606.0,46952.0,7.576483725373443,12
PUTNAM,75565.0,48673.0,7.433341529307736,10
DICKSON,51341.0,21995.0,7.308061627609488,27
KNOX,452286.0,242440.0,7.288922935664522,2
RUTHERFORD,298456.0,65261.0,7.1839959842452075,9
HAMILTON,354589.0,199917.0,7.163239902625485,4
HENRY,32263.0,21914.0,7.160010586124988,28
TIPTON,61434.0,13714.0,7.146169759310499,43
MONROE,45698.0,18343.0,7.038000521816535,35
DAVIDSON,678322.0,284885.0,7.034527545736713,1
MOORE,6302.0,708.0,7.0182394924662965,94
JEFFERSON,52887.0,26452.0,7.010086340773092,21
CARROLL,28137.0,19512.0,6.944464217075011,32
HARDEMAN,25784.0,7597.0,6.913465651077925,58
CHEATHAM,39713.0,9250.0,6.901234015249862,52
ROBERTSON,68575.0,19189.0,6.835807390466419,33
CLAIBORNE,31566.0,21243.0,6.821728826404454,29
FAYETTE,39336.0,8567.0,6.796131908581039,53
FRANKLIN,41397.0,13808.0,6.764813952918698,42
MC MINN,52569.0,23085.0,6.7597443097798875,26
PERRY,7882.0,2683.0,6.744086670185758,83
LAUDERDALE,26497.0,6170.0,6.730737763038759,66
CANNON,13839.0,2758.0,6.656047881069601,82
SULLIVAN,156519.0,117878.0,6.652493852772418,5
SMITH,19279.0,7844.0,6.6110408765276025,56
COCKE,35262.0,12161.0,6.556784851621808,46
ANDERSON,75538.0,34882.0,6.554980315515508,18
MC NAIRY,25945.0,12983.0,6.472664546170644,44
HAWKINS,56402.0,15030.0,6.4281315222226025,39
ROANE,52926.0,24602.0,6.3610343338651,23
GREENE,68520.0,31535.0,6.286029804571948,19
CUMBERLAND,58178.0,24193.0,6.159208134543807,24
WARREN,40210.0,15285.0,6.138061199903622,38
BLEDSOE,14413.0,3306.0,6.125738850080602,77
WEAKLEY,33776.0,14260.0,6.12143274150898,41
JOHNSON,17846.0,6281.0,5.99618138424821,65
HICKMAN,24502.0,4759.0,5.988423304391595,72
OVERTON,21995.0,6835.0,5.900023306602674,61
WAYNE,16713.0,6615.0,5.855796043022175,62
MADISON,97887.0,68021.0,5.852542531837036,8
SEVIER,95523.0,23307.0,5.760603866107422,25
CAMPBELL,39824.0,18687.0,5.582141448901315,34
MARION,28355.0,7621.0,5.493602450892053,57
VAN BUREN,5675.0,1285.0,5.445376726841258,90
GILES,29024.0,7186.0,5.349034553602001,60
SHELBY,937847.0,233758.0,5.325635215471814,3
BEDFORD,46854.0,8289.0,5.257849666983825,54
GIBSON,49222.0,16359.0,5.187174592705803,37
DYER,37751.0,20399.0,5.0146020570709355,30
DE KALB,19380.0,8022.0,4.934671883073743,55
UNION,19176.0,3334.0,4.913997671230858,76
HARDIN,25813.0,11393.0,4.894446974318438,47
CARTER,56500.0,11230.0,4.769650919315175,48
UNICOI,17830.0,5937.0,4.758698631783971,68
LOUDON,51024.0,11144.0,4.583593827119871,49
WHITE,26394.0,5439.0,4.528085117010915,70
CROCKETT,14554.0,2672.0,4.498846665431953,84
LEWIS,11944.0,3076.0,4.277807137095652,81
MEIGS,11830.0,1275.0,4.233348827943423,91
GRAINGER,22942.0,3675.0,4.220160308674583,74
SEQUATCHIE,14654.0,1328.0,4.128968068899045,89
LINCOLN,33543.0,5916.0,4.094712726416988,69
HENDERSON,27889.0,4898.0,4.04315560948631,71
HUMPHREYS,18281.0,3295.0,3.9744765029431632,78
BLOUNT,127135.0,27352.0,3.9462825418260934,20
JACKSON,11573.0,1042.0,3.8447347059257617,92
POLK,16722.0,3084.0,3.792564900328345,80
HOUSTON,8188.0,1813.0,3.643195884575195,87
MACON,23239.0,3245.0,3.4464446922627583,79
HAYWOOD,17944.0,4568.0,3.4241338470533558,73
HANCOCK,6605.0,878.0,3.218711049197155,93
STEWART,13248.0,1403.0,3.1981581526818483,88
PICKETT,5071.0,1906.0,2.877849916956062,86
DECATUR,11681.0,2188.0,2.155580075662043,85
LAKE,7588.0,220.0,1.3566010976136154,95
